id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6428968-B1,Combined therapy with a chemotherapeutic agent and an oncolytic virus for killing tumor cells in a subject ,The Trustees Of The University Of Pennsylvania,"Katherine Molnar-Kimber, Larry Kaiser, Takane Toyoizumi",3/15/1999,11/8/1999,8/6/2002,8/6/2002,https://patents.google.com/patent/US6428968B1/en,https://patentimages.storage.googleapis.com/89/fa/2d/d696325f1edc2c/US6428968-drawings-page-3.png
US-7595042-B2,Oncolytic virus therapy ,Wellstat Biologics Corporation,"William S. Groene, Jeffrey A. Miller, Stephen N. Mueller",5/11/2001,5/5/2005,9/29/2009,9/29/2009,https://patents.google.com/patent/US7595042B2/en,
US-7306902-B2,Oncolytic viruses as phenotyping agents for neoplasms ,Oncolyties Biotech Inc.,"Bradley G. Thompson, Matthew C. Coffey",6/28/2002,6/24/2003,12/11/2007,12/11/2007,https://patents.google.com/patent/US7306902B2/en,
US-10238698-B2,Biomarkers and combination therapies using oncolytic virus and immunomodulation ,"Dnatrix, Inc., Board Of Regents, The University Of Texas System","Frank Tufaro, Charles Conrad, Juan FUEYO-MARGARETO, Frederick Lang, Jr., Candelaria Gomez-Manzano, W. K. Alfred Yung, Amy Heimberger",1/25/2012,1/25/2013,3/26/2019,3/26/2019,https://patents.google.com/patent/US10238698B2/en,https://patentimages.storage.googleapis.com/b6/b9/63/1ab2a80846a6c5/US10238698-20190326-D00001.png
US-8147822-B1,Oncolytic virus ,Wellstat Biologics Corporation,"John C. Bell, Nahum Sonenberg, David F. Stojdl, Earl G. Brown, Harold L. Atkins, Ricardo M. Marius, Brian D. Lichty, Shane B. Knowles",9/17/1999,9/18/2000,4/3/2012,4/3/2012,https://patents.google.com/patent/US8147822B1/en,https://patentimages.storage.googleapis.com/22/fe/bb/dc37b2b6b3cc4c/US08147822-20120403-D00001.png
US-10238700-B2,Oncolytic virus adjunct therapy with agents that increase virus infectivity ,Genelux Corporation,"Aladar A. Szalay, Joseph Cappello, Nanhai G. Chen, Boris Minev",1/2/2014,12/31/2014,3/26/2019,3/26/2019,https://patents.google.com/patent/US10238700B2/en,
US-8236941-B2,Tetracycline repressor regulated oncolytic viruses ,"The Brigham And Women's Hospital, Inc.",Feng Yao,7/10/2006,9/2/2009,8/7/2012,8/7/2012,https://patents.google.com/patent/US8236941B2/en,
US-10301600-B2,Virus strains ,Biovex Limited,Robert S. Coffin,1/21/2000,2/7/2014,5/28/2019,5/28/2019,https://patents.google.com/patent/US10301600B2/en,https://patentimages.storage.googleapis.com/d7/71/5e/46251c5d5f72b6/US10301600-20190528-D00001.png
US-8252277-B2,Virulent oncolytic herpes simplex virus strains engineered to counter the innate host response ,New York University,"Ian Mohr, Matthew Mulvey",6/24/2004,4/27/2010,8/28/2012,8/28/2012,https://patents.google.com/patent/US8252277B2/en,https://patentimages.storage.googleapis.com/f8/a1/d1/0a2aa6bc402134/US08252277-20120828-D00001.png
US-8703120-B2,Use of oncolytic herpes viruses for killing cancer stem cells ,The General Hospital Corporation,"Robert Martuza, Samuel Rabkin, Hiroaki Wakimoto, Ryuichi Kanai",5/29/2008,5/4/2009,4/22/2014,4/22/2014,https://patents.google.com/patent/US8703120B2/en,https://patentimages.storage.googleapis.com/71/73/3e/a7f3e3c29e8586/US08703120-20140422-D00001.png
US-8313896-B2,Oncolytic herpes simplex virus immunotherapy in the treatment of brain cancer ,The General Hospital Corporation,"Robert L. Martuza, Samuel Rabkin, William Curry, Christopher Farrell, Cecile Zaupa",4/4/2008,4/6/2009,11/20/2012,11/20/2012,https://patents.google.com/patent/US8313896B2/en,https://patentimages.storage.googleapis.com/70/d9/48/22b9792337224b/US08313896-20121120-D00001.png
US-8450106-B2,Oncolytic virus ,The Ohio State University Research Foundation,"Balveen Kaur, Antonio Chiocca, Yoshinaga Saeki",10/17/2007,2/1/2010,5/28/2013,5/28/2013,https://patents.google.com/patent/US8450106B2/en,https://patentimages.storage.googleapis.com/06/a0/8a/daf06bc052a46b/US08450106-20130528-D00001.png
